,title,visite,href
0,울산 맛집 언양 맛집 언양불고기 원조 진미불고기 [kfood],조회수 46만회,https://www.youtube.com/watch?v=MSifzZD9mJE
1,이세키 프리이빗한 분위기 울산 맛집,조회수 30만회,https://www.youtube.com/watch?v=D541E37lGco
2,"오래된 라면맛집 외관 사진만 보고 140키로 운전하고 찾아갔습니다 춘천상회(그저그런,)",조회수 23만회,https://www.youtube.com/watch?v=6FSllXW98TM
3,매력이 터지는 울산의 맛집들. 올 여름휴가는 울산으로?,조회수 22만회,https://www.youtube.com/watch?v=Xg9Een4whbY
4,장담하는데 솔트배 울고 갑니다. 한국에서 가장 눈호강하는 삼겹살집 [울산맛집],조회수 17만회,https://www.youtube.com/watch?v=Ord0KLSCtGc
5,울산에서 한우암소 + 당일도축 육회 가장 싸게 먹는법,조회수 15만회,https://www.youtube.com/watch?v=98TBHU4ZMW4
6,[울산맛집] 완전 혜자 가성비맛집! 바로 여기 입니다. 서비스로 요리가 나오는곳 / 소발채찬팅 /,조회수 13만회,https://www.youtube.com/watch?v=f2B7Af0C5lU
7,울산 50년 수암한우야시장 & 울산번개시장 아시아인 일요장날. 츄릅로드,조회수 13만회,https://www.youtube.com/watch?v=ANkmhACf3xo
8,[울산맛집] 감히.. 이곳은 맛에 대한 평가를 할수가 없었습니다...분위기 지리는 45년 노부부의 중국집,조회수 7.5만회,https://www.youtube.com/watch?v=9uHbT-Ig8Dk
9,울산 맛집 - 맛좀볼래 울산 7편(치킨),조회수 7.3만회,https://www.youtube.com/watch?v=h7chu48jktc
10,[울산맛집] 한우불고기 마음껏 먹을수 있는 무한리필 불고기맛집 / 우진숯불화로구이,조회수 6.6만회,https://www.youtube.com/watch?v=KqZiki7vdKM
11,[울산] 이곳이 왜 그렇게 인기가 많은지 미치도록 궁금해서 가봤습니다.,조회수 6.6만회,https://www.youtube.com/watch?v=TnLm_aMGIEE
12,[울산맛집] 이모.. 이렇게 주셔서 남는게 있나요?? 사장님의 미친 서비스에 배터지는곳 (ft.섬마을훈태님도 다녀간곳) / 솔직리뷰,조회수 5.3만회,https://www.youtube.com/watch?v=LBcbKRgQRno
13,울산 상위 5프로만 먹을수 있는 단돈 칠천원의 산더미 도가니탕 맛집,조회수 5.2만회,https://www.youtube.com/watch?v=aEPCAwFw_nk
14,[울산맛집] 호텔경력 30년 주방장이 전통시장에서 중국집을 차리면 생기는일,조회수 5.1만회,https://www.youtube.com/watch?v=E6DIJPJ3moQ
15,[울산맛집] 미..미쳤다! 제대로 된 한정식을 맛볼수 있는곳이라고 하도 극찬을 해서 가봤습니다...!!,조회수 4.9만회,https://www.youtube.com/watch?v=i0eyPERKWhs
16,[울산맛집] 엄청 많은 블로그리뷰에 정말 궁금해서 안 가볼 수 없었습니다. 그래서 가봤더니...!!,조회수 4.7만회,https://www.youtube.com/watch?v=bsy3Dn4KRXM
17,[울산맛집] 미치도록 궁금해서 저도 달려 가봤더니 가격과 양에 정말 깜짝 놀랐습니다.,조회수 4.7만회,https://www.youtube.com/watch?v=FLwzHNDn7QU
18,[울산맛집] 미친 가성비에 입이 쩌억! 국내산 숯불고기 먹다먹다 결국 포장해왔습니다! 완전 혜자 맛집,조회수 4.6만회,https://www.youtube.com/watch?v=RL9yYUE-7WQ
19,역대급 사상 최초!!! 청년 울산 맛집 한 끼 5메뉴 도전?? 거기에 디저트 배는 따로 있는 거 아시죠? 눈으로 한입 입으로 두입 |식탐먹고 ep.15 | 울산 남구 청년몰 편,조회수 4.4만회,https://www.youtube.com/watch?v=k37aDATUZDo
20,돼지국밥의 새로운 길을 열었다는 울산 맛집,조회수 4.2만회,https://www.youtube.com/watch?v=LzF9DrPnrAg
21,[울산맛집] 가성비 미쳤다! 파도처럼 밀려오는 음식에 놀랐습니다 (ft.낮술) / 솔직리뷰 / 대통물회,조회수 3.9만회,https://www.youtube.com/watch?v=bksTskNm0g4
22,입소문으로 요즘 많은분들이 찾는다는 그곳 울산맛집 보다 가성비 좋은집 신정동 착한밥집,조회수 3.4만회,https://www.youtube.com/watch?v=0K3KWmMXAoM
23,[울산맛집] 모듬 숙성회를 주문했더니 지리는 서비스가 나오는 가성비 쩌는 이자카야,조회수 3.3만회,https://www.youtube.com/watch?v=KfvA2T9aIf8
24,단골들도 자리 없어서 못 먹는다는 울산 맛집,조회수 3.3만회,https://www.youtube.com/watch?v=a89-ZgYOal4
25,[울산 맛집]도매시장에서 '만원대'의 싱싱한 회를 먹을 수 있다?!,조회수 3만회,https://www.youtube.com/watch?v=pyYA3WZWOEg
26,[울산맛집] 그래서 제가 가봤더니 그 이유가..,조회수 2.9만회,https://www.youtube.com/watch?v=qLr2A9exv28
27,울산 맛집 / 울산 남구 맛집 베스트 3 / 울산 찐맛집,조회수 2.8만회,https://www.youtube.com/watch?v=MSsbnktx3T8
28,울산 맛집 / 울산 동구 맛집 베스트3 / 찐 맛집 추천,조회수 2.4만회,https://www.youtube.com/watch?v=5upV3bcdFCc
29,[울산 맛집]오랜만에 가성비 맛집입니다. 소고기는 가격이 중요합니다 !! #국가정원맛집 #태화동맛집 #소고기맛집 #가성비맛집 #수입소고기 #59소구이,조회수 2.3만회,https://www.youtube.com/watch?v=IU5WDaJJLWE
30,울산 삼산동 실시간...,조회수 2.2만회,https://www.youtube.com/watch?v=hpySw717c8M
31,술꾼들 모이세요! 진짜 숨은 울산 맛집!,조회수 2.1만회,https://www.youtube.com/watch?v=ROVIBRf-Iko
32,[울산맛집] 어릴때 먹던 맛을 못 잊어 애놓고 다시 찾아가는곳을 다녀왔습니다. 지리는 분위기를 경험하는 곳.,조회수 2.1만회,https://www.youtube.com/watch?v=HbDdPQmouiA
33,[울산 맛집]방심하고 갔다가 배 터지는 줄 알았습니다 #반구동맛집 #김치찌개맛집 #중구맛집 #돼지집 #학성동맛집 #동천체육관 #시골돼지볶음찌개,조회수 2.1만회,https://www.youtube.com/watch?v=HAQbVvsqrVk
34,"🌼울산토박이의 내맘대로 '울산 맛집 추천'❗|돼지런한 울산 맛집 탐방기(양갈비,해신탕,미나리삼겹살,대방어,찹쌀탕수육,차돌박이짬뽕) Feat.울산 일상 브이로그, 먹방 일상 VLOG",조회수 2만회,https://www.youtube.com/watch?v=CYnxWGrz9UI
35,부산사람 미야가 찾은 울산 맛집 Best 3 | 맛집탐방 울산맛집 울산여행 | 중식뷔페 용궁 | 스테이크 무한리필 스테끼 | 한우 곱창전골이 갑! 만포장곱창 | 미야킴티비,조회수 2만회,https://www.youtube.com/watch?v=LqSbNrLole8
36,[울산맛집] 이게 가성비죠! 택시기사분과 경찰분들의 숨겨진 동네맛집! 가성비 맛집!,조회수 1.9만회,https://www.youtube.com/watch?v=Nt5W2LvIPTg
37,맛집투어모음) 한눈에 보는 울산기사식당맛집 3곳 추천,조회수 1.9만회,https://www.youtube.com/watch?v=NrqqDJemzPs
38,"[울산맛집] 1인 25,000원이면 20여가지의 안주를 즐길 수 있습니다. 주당들의 성지 공업탑 '마당집'",조회수 1.7만회,https://www.youtube.com/watch?v=moN-B-rImPw
39,타지 사람이 울산오면 꼭 가야하는 맛집,조회수 1.9만회,https://www.youtube.com/shorts/PbONdUpxgNE
40,"💛울산토박이가 추천하는 숨은 울산 맛집 Feat. 울산 일상 브이로그, 먹방 일상 VLOG",조회수 1.7만회,https://www.youtube.com/watch?v=FpZ6mK58vaQ
41,[울산 맛집] 아구찜 맛집 - 달동생아구,조회수 1.5만회,https://www.youtube.com/watch?v=EzZBBVb2XDo
42,[울산맛집] 코스요리가 이렇게 싸다니?! 중식맛집 '비단길',조회수 1.4만회,https://www.youtube.com/watch?v=btrYMOtshOE
43,[ 울산맛집 ] 모든코스요리가 1인당 가격이 아닌 테이블당 가격으로 모든게 나오는 푸른아오리 입니다. 일식은 비싸다 라는 고정관념을 깨는 일식당 #kfood,조회수 1.4만회,https://www.youtube.com/watch?v=OT3u-KwfehE
44,[울산 맛집]면발이 살아있는 칼국수 찐 맛집. 몇번을 갔는지 셀 수도 없습니다 #들깨칼국수 #비빔칼국수 #삼산맛집 #미담소담,조회수 1.4만회,https://www.youtube.com/watch?v=uPxCuiQvggc
45,"💜육식파 울산토박이가 추천하는 내 맘대로 PICK👉 '울산 맛집' Feat. 울산 일상 브이로그, 먹방 일상 VLOG",조회수 1.2만회,https://www.youtube.com/watch?v=AbuuIQMelTY
46,"[울산맛집]쫄면,두루치기👧/spicy noodles/koreafood/울산맛집/먹방브이로그/ 태화강국가정원/ 울산여행코스/ mukbangVLOG",조회수 1.2만회,https://www.youtube.com/watch?v=d5h1O5mSa1g
47,울산 맛집을 찾아서 자장면 3천원에 양까지 푸짐하고 저렴한식당 부여식당,조회수 1.2만회,https://www.youtube.com/watch?v=hph6gyRjnzs
48,"반찬만 20가지!! 메인은 언제 먹어요 사장님...? ""옹기골식당"" [울산 맛집]",조회수 1.1만회,https://www.youtube.com/watch?v=RcbxygFY7FM
49,태화시장 5일장/튀김 맛있는집/울산맛집,조회수 1만회,https://www.youtube.com/watch?v=Ht-Di_4jmWg
